name,poi,playfield,trader sells,trader buys,required items,restock (minutes)
Agrinex Incorporated,"Bazarr of Farr,Bio-Base 10,Brotherhood Mission,
Colony,Frontier Colony,Settlement,
Village","Alien,Arid,Arid Mesa,
AridStarter,Barren,Barren Moon,
BarrenMetal,Brooding Temperate,Crusted Lava,
Crystalline Moon,Desert,Desert Oasis,
DesertBurnt,Elder Barren,Farr Homeworld,
Ice,Irradiated,Jungle,
Jungle Moon,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Rocky Desert,Sandy Barren Moon,Snow,
SnowStory,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Varnished Barren Moon,
White Desert,ZiraxHomeworld","Alien Parts: 1.0-1.25,50-100
Alien spike lemon: 1.0-1.25,50-100
Alien thorn: 1.0-1.25,50-100
Alien tooth: 1.0-1.25,50-100
Biological Specimen: 1.0-1.25,50-100
Confetti moss scrapings: 1.0-1.25,50-100
Fire moss scrapings: 1.0-1.25,50-100
Herbal Leaves: 1.0-1.25,150-300
Hops: 1.0-1.25,250-500
Medicinal Growth: 1.0-1.25,50-100
Narcotics: 1.25-1.5,10-20
Natural Stimulant: 1.0-1.25,50-400
Phoenix fern frond: 1.0-1.25,50-100
Plant Protein: 1.0-1.25,50-100","Alien Parts: 0.5-0.75,100-500
Alien spike lemon: 0.5-0.75,100-200
Alien thorn: 0.5-0.75,100-500
Alien tooth: 0.5-0.75,100-800
Aloe vera: 1.0-1.25,100-200
Biological Specimen: 0.5-0.75,100-200
Confetti moss scrapings: 0.5-0.75,100-300
Fire moss scrapings: 0.5-0.75,100-300
Herbal Leaves: 0.5-0.75,100-1200
Medicinal Growth: 0.5-0.75,100-200
Natural Stimulant: 0.5-0.75,100-900
Phoenix fern frond: 0.5-0.75,100-400
Plant Protein: 0.5-0.75,100-900
Varon root: 1.0-1.25,100-200","Science Equipment x4
Xenon Bottle x60
Sulfur x750
Biological Specimen x500
Brafus fungi x10",60
Aluminium Trader,Frigate (Mining Aluminium),"Asteroid Field,Orbit","Aluminium Ore: 0.7-0.9,750-1500","Drill Charge: 1.1-1.3,50-200
Drill Module - Laser: 1.1-1.2,1-2
Laser Drill: 1.3-1.6,3-5
Tool Turrets: 1.1-1.2,1-2",,120
AndroMedical,"Caledon Inc. Outpost,Civilian Hospital,Colony,
Excavation Site,Field Hospital,Gas Refinery,
Main Trade Hub,Refueling Station,Resupply station,
Sanctuary,Trade Center,Trade Station Agate,
Trade Station Citrine,Trade Station Eta,Trade Station Kappa,
Trade Station Lambda,Trade Station Olivine,Trade Station Onyx,
Trading Station,Waystation TS05","Alien,Arid,Arid Mesa,
AridStarter,Asteroid Field,Barren,
Barren Moon,BarrenMetal,Brooding Temperate,
Desert,Desert Oasis,DesertBurnt,
Elder Barren,Farr Homeworld,Farr Homeworld Orbit,
Frozen Inferno,Ice,Irradiated,
Jungle,Jungle Moon,Lava,
LavaNascent,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,OrbitSectorStart,Pummeled Desert,
Rocky Desert,Sandy Barren Moon,Snow,
SnowStory,Station,Stormy Desert,
Strange Temperate,Swamp,Swamp Starter,
Temperate,Temperate Moon,Temperate Rainforest,
TemperatePlateau,TemperateStarter,TemperateStarter2,
Trading Station,Tropical,Varnished Barren Moon,
ZiraxHomeworld","Anti-Parasite Pills: 1.0-1.25,0-20
Anti-Radiation Pills: 1.0-1.25,0-20
Antibiotic Pills: 1.0-1.25,0-20
Antitoxic Pills: 1.0-1.25,0-20
Bandages: 1.0-1.25,0-40
Decontamination Kit: 1.0-1.25,3-5
Detox Kit: 1.0-1.25,3-10
Energy pills: 1.0-1.25,0-20
Health Pack: 1.0-1.25,3-15
Stomach Pills: 1.0-1.25,0-20
Trauma Kit: 1.0-1.25,3-10","Anti-Parasite Pills: 0.5-0.75,10-100
Anti-Radiation Pills: 0.5-0.75,10-100
Antibiotic Pills: 0.5-0.75,10-100
Antitoxic Pills: 0.5-0.75,10-100
Bandages: 0.5-0.75,10-40
Decontamination Kit: 0.5-0.75,5-20
Detox Kit: 0.5-0.75,5-30
Energy pills: 0.5-0.75,10-100
Health Pack: 0.5-0.75,5-25
Stomach Pills: 0.5-0.75,20-100
Trauma Kit: 0.5-0.75,5-20",,60
Archeological,"Bazarr of Farr,Excavation Site,Farr Archives,
Farr's Arrival,Members Market","Alien,Arid,Arid Mesa,
Barren,Barren Moon,BarrenMetal,
Brooding Temperate,Desert,Desert Oasis,
DesertBurnt,Elder Barren,Farr Homeworld,
Ice,Irradiated,Jungle,
Jungle Moon,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Rocky Desert,Sandy Barren Moon,Snow,
SnowStory,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Varnished Barren Moon,
ZiraxHomeworld","Ancient Relics: 1.0-1.25,50-100
Gold Ingot: 1.0-1.25,50-100
Reactive Xenomatter: 0.85-1.2,100-200
Technical Artifact: 1.0-1.25,50-100
Xenomaterial: 0.85-1.2,250-750","Anomalous Data: 3.0-4.0,100-150
Archeological Data: 5.0-6.0,100-150
Dual Fuel Cell: 0.75-1.15,250-500
Emergency rations: 1.0-1.25,50-100
Large Mechanical Drill Module: 0.75-1.0,10-30
Tool Turrets: 0.5-0.75,5-10
Transportation Booster: 1.0-1.25,20-30",,60
Archeology Researcher,"Research Headquarters,Research Station",Ice,,"Ancient Relics: 1.1-1.3,3-6",,180
Arms Dealer,"Kenex Station 62,Supply Station,Trade Station Amethyst,
Trade Station Citrine,Trade Station Lapis,Trade Station Nu,
Trade Station Olivine,Trade Station Onyx,Trade Station Rho,
Warehouse","Arid,AridStarter,Barren,
Barren Moon,Desert,Desert Moon,
Desert Oasis,DesertBurnt,Elder Barren,
Farr Homeworld Orbit,Frozen Inferno,Ice,
Ice Moon,Irradiated,Jungle,
Jungle Moon,LavaNascent,Legacy,
Methane,Methane Moon,Mire,
MoonPolarisTesting,Nascent,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
Plasma,Pummeled Desert,Rocky Desert,
Sandy Barren Moon,Snow,Strange Temperate,
Temperate,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Trading Station,
ZiraxHomeworldMoon","Explosive Charge: 1.0-1.25,1-15
Flamethrower: 1.0-1.25,1-2
Heavy Weapon Upgrade Kit: 1.0-1.25,1-10
LS-22 Laser Pistol: 1.0-1.25,1-5
Laser Upgrade Kit: 1.0-1.25,1-10
M40 Grenade Launcher: 1.0-1.25,1-2
Pistol Upgrade Kit: 1.0-1.25,1-10
Rifle upgrade kit: 1.0-1.25,1-10
Rocket Launcher: 1.0-1.25,1-5
Shotgun upgrade kit: 1.0-1.25,1-10
Sniper upgrade kit: 1.0-1.25,1-10
Submachine Gun: 1.0-1.25,1-3","Assault Rifle: 0.5-0.75,5-300
Explosive Charge: 0.5-0.75,5-50
Flamethrower: 0.5-0.75,1-70
Heavy Weapon Upgrade Kit: 0.5-0.75,10-50
LS-22 Laser Pistol: 0.5-0.75,0-35
Laser Upgrade Kit: 0.5-0.75,10-50
M-5 Pistol: 0.5-0.75,5-300
M40 Grenade Launcher: 0.5-0.75,2-100
Multitool: 0.5-0.75,5-100
Pistol Upgrade Kit: 0.5-0.75,10-50
Pulse Rifle: 0.5-0.75,0-250
Rifle upgrade kit: 0.5-0.75,10-50
Rocket Launcher: 0.5-0.75,2-25
Shotgun upgrade kit: 0.5-0.75,10-50
Shotgun: 0.5-0.75,5-300
Sniper Rifle: 0.5-0.75,5-100
Sniper upgrade kit: 0.5-0.75,10-50
Submachine Gun: 0.5-0.75,2-150",,180
Arriake Technology,Arriake Technology,"Barren,Barren Moon,Desert,
DesertBurnt,Ice,Irradiated,
MoonBarren,Ocean,Sandy Barren Moon,
Snow,Stormy Desert,Swamp,
Temperate","Advanced Electronics: 1.0-1.25,300-600
Advanced Upgrade Kit: 1.25-1.5,5-12
Communication Equipment: 1.0-1.25,15-30
Computer: 1.0-1.25,300-600
Large Optronic Bridge: 1.0-1.25,10-50
Optronics: 1.0-1.25,30-70
Small Optronic Bridge: 1.0-1.25,20-80
Small Optronic Matrix: 1.25-1.5,5-65
Superconductor: 1.25-1.5,25-65","Aluminium Foil: 0.75-1.0,350-1700
Copper ingot: 0.75-1.0,1000-6000
Gold Ingot: 1.0-1.05,700-1400
Graphite: 0.95-1.1,400-2800
Nitrogen Bottle: 1.25-1.5,450-900
Platinum Ingot: 0.75-1.0,400-3800
Silicon ingot: 0.75-1.0,650-7200","Gold Ingot x100
Xenon Bottle x50
Coolant x15
Platinum Ingot x750
Robotics x10",240
Artemis Commodities,"Planetary Fortress,Trade Station","Jungle,Orbit,Rocky Desert,
Swamp,Trading Station","Auto Miner Core: 1.0-1.25,1-5
Flux coil: 1.0-1.25,50-75","Auto Miner Core: 0.5-0.75,5-10
Flux coil: 0.5-0.75,50-500",,60
Augmented Options,"Castle of Farr,Central Trade Station,Main Trade Hub,
Planetary Fortress,Refueling Station,Trade Center","Alien,Arid,Arid Mesa,
Desert,Desert Oasis,Farr Homeworld,
Farr Homeworld Orbit,Jungle,Orbit,
Rocky Desert,Stormy Desert,Strange Temperate,
Swamp,Temperate,Temperate Rainforest,
TemperatePlateau,Trading Station,Tropical","Armor Booster: 1.0-1.25,1-5
EVA Booster: 1.0-1.25,1-5
Heavy Armor: 1.0-1.25,1-5
Insulation Booster: 1.0-1.25,1-5
Jetpack Booster: 1.0-1.25,1-5
Medium Armor: 1.0-1.25,1-5
Mobility Booster: 1.0-1.25,1-5
Multibooster: 1.0-1.25,1-5
Oxygen Tank Booster: 1.0-1.25,1-5
Radiation Shielding Booster: 1.0-1.25,1-5
Transportation Booster: 1.0-1.25,1-5","Armor Booster: 0.5-0.75,5-15
EVA Booster: 0.5-0.75,5-15
Heavy Armor: 0.5-0.75,5-15
Insulation Booster: 0.5-0.75,5-15
Jetpack Booster: 0.5-0.75,5-15
Medium Armor: 0.5-0.75,5-10
Mobility Booster: 0.5-0.75,5-15
Multibooster: 0.5-0.75,5-15
Oxygen Tank Booster: 0.5-0.75,5-15
Radiation Shielding Booster: 0.5-0.75,5-15
Transportation Booster: 0.5-0.75,5-15",,60
Bertram's Arms,"Deluxe Resort,Drydock,Karana Trade Station,
Okeanus Outpost,Trade Station,Trading Station","AridStarter,Asteroid Field,Farr Homeworld Orbit,
Jungle,Orbit,SnowStarter,
Station,TemperateStarter,Trading Station,
Tropical,Water","12.7mm Sniper Round: 1.0-1.25,50-400
40mm Frag Grenade: 1.0-1.25,20-80
5.8mm Rifle Round: 1.0-1.25,250-400
8.3mm Minigun Round: 1.0-1.25,2000-5000
Assault Rifle: 1.0-1.25,50-100
Bandages: 1.0-1.25,50-100
Biofuel: 1.0-1.25,50-100
Canned meat: 1.0-1.25,50-100
Canned vegetables: 1.0-1.25,50-100
Carbon Substrate: 1.0-1.25,500-1800
Detox Kit: 1.0-1.25,5-10
Drill Charge: 1.0-1.25,10-30
EVA Booster: 1.0-1.25,1-12
Emergency rations: 1.0-1.25,5-10
Energy Drink: 1.0-1.25,50-100
M-5 Pistol: 1.0-1.25,50-100
Magnesium Powder: 1.0-1.25,350-600
Motorbike Construction Kit: 1.0-1.25,2-5
Multi-Charge: 1.0-1.25,10-20
Multitool: 1.0-1.25,5-10
Nitrocellulose: 1.0-1.25,50-100
Pistol Round: 1.0-1.25,250-400
Respirator Charge: 1.0-1.25,50-100
Shotgun Shell: 1.0-1.25,50-100
Shotgun: 1.0-1.25,50-100
Small Optronic Bridge: 1.0-1.25,50-100
Sniper Rifle: 1.0-1.25,50-100","12.7mm Sniper Round: 0.5-0.75,150-500
40mm Frag Grenade: 0.5-0.75,15-100
5.8mm Rifle Round: 0.5-0.75,150-500
8.3mm Minigun Round: 0.5-0.75,1500-6500
Assault Rifle: 0.5-0.75,150-500
Bandages: 0.5-0.75,150-500
Biofuel: 0.5-0.75,100-200
Canned meat: 0.5-0.75,150-500
Canned vegetables: 0.5-0.75,150-500
Carbon Substrate: 0.5-0.75,150-3500
Detox Kit: 0.5-0.75,15-50
Drill Charge: 0.5-0.75,1-31
Emergency rations: 0.5-0.75,15-50
Energy Drink: 0.5-0.75,150-500
Leather: 2-3,20-80
M-5 Pistol: 0.5-0.75,150-500
Magnesium Powder: 0.5-0.75,150-1200
Motorbike Construction Kit: 0.5-0.75,5-30
Multi-Charge: 0.5-0.75,1-22
Multitool: 0.5-0.75,5-60
Nitrocellulose: 0.5-0.75,150-500
Pistol Round: 0.5-0.75,150-500
Respirator Charge: 0.5-0.75,100-500
Shotgun Shell: 0.5-0.75,50-200
Shotgun: 0.5-0.75,150-500
Small Optronic Bridge: 0.5-0.75,150-500
Sniper Rifle: 0.5-0.75,150-500",,60
